train_number,train_name,scraped_train_name,csv_source,csv_destination,scraped_source,scraped_destination,identity_check,running_days,status
4603,JAT UDAHMPUR DMU,SVDK HOLI SPL,JAMMU TAWI,UDHAMPUR,Varanasi Jn,Shmata Vd Katra,MISMATCH,110011,ok
4604,UDHAMPUR JAMMUTAWI DMU,BSB HOLI SPL,UDHAMPUR,JAMMU TAWI,Shmata Vd Katra,Varanasi Jn,MISMATCH,1001101,ok
11017,Chalukya Express,LTT KARAIKAL EXP,MUMBAI DADAR CENTRAL,YESVANTPUR JN,Lokmanyatilak,Karaikal,MISMATCH,10,ok
11019,Konark Express,KONARK EXPRESS,MUMBAI CST,BHUBANESWAR,C Shivaji Maharaj T,Bhubaneswar New,match,1111111,ok
11020,Konark Express,KONARK EXPRESS,BHUBANESWAR,MUMBAI CST,Bhubaneswar New,Dadar,match,1111111,ok
11023,Sahyadri Express,SAHYADRI EXPRES,MUMBAI CST,C SHAHU M RAJ KOLHAPUR TERM,C Shivaji Maharaj T,C Sahumaharaj T Kolhapur,MISMATCH,1111111,ok
11024,Sahyadri Express,SAHYADRI EXP,C SHAHU M RAJ KOLHAPUR TERM,MUMBAI CST,C Sahumaharaj T Kolhapur,C Shivaji Maharaj T,MISMATCH,1111111,ok
11025,Manmad Pune Express(Via Nasik),PUNE AMI EXP,MANMAD JN,PUNE JN,Pune Jn,Amravati,MISMATCH,1111111,ok
11026,Pune Manmad Express,AMI PUNE EXP,PUNE JN,MANMAD JN,Amravati,Pune Jn,MISMATCH,1111111,ok
11027,Mumbai CST-Chennai Mail,DR SATARA EXP,MUMBAI CST,CHENNAI CENTRAL,Dadar,Satara,MISMATCH,1000101,ok
11029,Koyna Express,KOYNA EXPRESS,MUMBAI CST,C SHAHU M RAJ KOLHAPUR TERM,C Shivaji Maharaj T,C Sahumaharaj T Kolhapur,MISMATCH,1111111,ok
11030,Koyna Express,KOYNA EXPRESS,C SHAHU M RAJ KOLHAPUR TERM,MUMBAI CST,C Sahumaharaj T Kolhapur,Shivaji Nagar,MISMATCH,1111111,ok
11033,PUNE - DARBHANGA Gyan Ganga Exp,,PUNE JN,DARBHANGA JN,,,unknown,1111111,summary_parse_failed
11035,Dadar-Mysore Sharavati Express,SHARAVATI EXP,MUMBAI DADAR CENTRAL,MYSORE JN,Dadar,Mysore Jn,match,1000,ok
11036,Mysore-Dadar Sharavati Express,,MYSORE JN,MUMBAI DADAR CENTRAL,,,unknown,1111111,summary_parse_failed
11037,PUNE - GORAKHPUR Exp,PUNE BNY EXP,PUNE JN,GORAKHPUR JN,Pune Jn,Gorakhpur,match,1000,ok
11038,GORAKHPUR - PUNE Exp,GKP PUNE EXP,GORAKHPUR JN,PUNE JN,Gorakhpur,Pune Jn,match,10,ok
11039,Maharashtra Express,MAHARASHTRA EXP,C SHAHU M RAJ KOLHAPUR TERM,GONDIA JN,C Sahumaharaj T Kolhapur,Gondia Jn,match,1111111,ok
11039-Slip,Kolhapur-Gorakhpur Express Slip,,C SHAHU M RAJ KOLHAPUR TERM,GORAKHPUR JN,,,unknown,1111111,summary_parse_failed
11040,Maharashtra Express,MAHARASHTRA EXP,GONDIA JN,C SHAHU M RAJ KOLHAPUR TERM,Gondia Jn,C Sahumaharaj T Kolhapur,match,1111111,ok
11040-Slip,Gondia-Solapur Maharashtra Express Slip,,GONDIA JN,SOLAPUR JN,,,unknown,1111111,summary_parse_failed
11041,Mumbai - Chennai Express,DR SNSI EXP,MUMBAI CST,CHENNAI CENTRAL,Dadar,Sainagar Shirdi,MISMATCH,111010,ok
11043,MUMBAI LTT - MADURAI Exp,LTT MADURAI EXP,LOKMANYA TILAK TERM,MADURAI JN,Lokmanyatilak,Madurai Jn,match,100,ok
11044,MADURAI - MUMBAI LTT Exp,LOKAMANYA TT EXP,MADURAI JN,LOKMANYA TILAK TERM,Madurai Jn,Lokmanyatilak,match,10,ok
11045,KOLHAPUR CSMT - DHANBAD Deekshabhoomi Exp,KOP DHN EXP,C SHAHU M RAJ KOLHAPUR TERM,DHANBAD JN,C Sahumaharaj T Kolhapur,Dhanbad Jn,match,100,ok
